"","Id","species","location","latitude","longitude","altitude"
"1",1,"Lvir x Lser?, Lvir","Villa Vicencio",-32.5236388888889,-68.9951111111111,"1,506"
"2",2,"Lvir","Mirador del Balcon",-32.4818333333333,-69.0735277777778,"2,770"
"3",3,"Lser","Ugarteche I.",-33.1967777777778,-68.9115555555556,"935"
"4",4,"Lser","Ugarteche II. ",-33.1941111111111,-68.9264722222222,"970"
"5",5,"Lser","Andalhue winery",-33.1941111111111,-68.9448333333333,"958"
"6",6,"Lvir","Valley de Uco",-33.2550833333333,-69.0994166666667,"1,357"
"7",7,"Lser, Lvir","San Jose Tupungato",-33.2940833333333,-69.1465833333333,"1,229"
"8",8,"Lser","dir. los Arboles",-33.4471111111111,-69.2044166666667,"1,135"
"9",9,"Lser","Bodega Salentein",-33.5006388888889,-69.2711111111111,"1,176"
"10",10,"Lser, Lvir","after Los Arboles",-33.5347777777778,-69.3058333333333,"1,292"
"11",11,"Lser","Manzano Historico I.",-33.59475,-69.3751111111111,"1,654"
"12",12,"Lvir","Manzano Historico II.",-33.5942777777778,-69.4090555555556,"1,819"
"13",13,"Lvir","dir. Tunuyan I.",-33.6035,-69.3603333333333,"1,615"
"14",14,"Lser","dir. Tunuyan II.",-33.6029166666667,-69.2392777777778,"1,126"
"15",15,"Lser","El Carrizal de Abajo I.",-33.2192777777778,-68.8513055555556,"885"
"16",16,"Lser","El Carrizal de Abajo II.",-33.2366944444444,-68.8185,"870"
"17",17,"Lser","El Carrizal",-33.2566944444444,-68.7998611111111,"854"
"18",18,"Lser","past El Carrizal se Abajo",-33.3008611111111,-68.7835555555556,"823"
"19",19,"Lser","Mendoza, Buena Nueva",-32.9345555555556,-68.7353333333333,"711"
"20",20,"Lser","Locoli Viejo",-32.7165,-68.6771388888889,"621"
"21",21,"Lser","Encon",-32.2156388888889,-67.7955277777778,"526"
"22",22,"Lser","La Chimbera ",-31.8260277777778,-68.2458055555556,"561"
"23",23,"Lser","Cochagual",-31.8808888888889,-68.3836388888889,"557"
"24",24,"Lser","Jocoli",-32.5868055555556,-68.6700833333333,"587"
"25",25,"Lser","Uspallata",-32.58875,-69.3598055555556,"1,776"
"26",26,"Lser","Polvaredas",-32.7888888888889,-69.647,"2,235"
"27",27,"Lser","Punta de Vacas",-32.8553055555556,-69.7619444444444,"2,403"
"28",28,"Lser","after Punta de Vacas",-32.8614444444444,-69.7861388888889,"2,481"
"29",29,"Lser","Penitentes",-32.8416388888889,-69.8325555555556,"2,582"
"30",30,"Lser","Puente del Inca",-32.8250833333333,-69.9105,"2,726"
"31",31,"Lser","School 1373 Bernardo Moneagudo",-32.5374166666667,-68.6483888888889,"582"
"32",32,"Lser","Santa Rosa",-31.7461111111111,-68.3234722222222,"566"
"33",33,"Lser","dir. Caucete",-31.7190277777778,-68.3030833333333,"568"
"34",34,"Lser","Caucete ",-31.6603055555556,-68.2837222222222,"571"
"35",35,"Lser","road la Plata to Villa Dominguito",-31.5932222222222,-68.3030277777778,"574"
"36",36,"Lser","Villa del Salvador",-31.4591388888889,-68.4093888888889,"608"
"37",37,"Lser","dir. La Caňada",-31.4408888888889,-68.4596666666667,"608"
"38",38,"Lser","Villa General San Martin",-31.3464722222222,-68.519,"629"
"39",39,"Lser","Ugarteche",-33.2687777777778,-68.9003055555556,"911"
"40",40,"Lvir","Anchoris II.",-33.4123611111111,-68.9480555555556,"900"
"41",41,"Lser","Zapata I.",-33.3355555555556,-68.9856111111111,"866"
"42",42,"Lser","Zapata II.",-33.5159166666667,-68.9987222222222,"858"
"43",43,"Lser","Tunuyán",-33.5903611111111,-69.0187777777778,"887"
"44",44,"Lser","past Tunuyán",-33.6520555555556,-69.0315833333333,"907"
"45",45,"Lser","San Carlos",-33.7876111111111,-69.0683333333333,"967"
"46",46,"Lser","Tres Esquinas",-33.8333055555556,-69.07075,"982"
"47",47,"Lser","Chilecito",-33.8890277777778,-69.0753055555555,"1,010"
"48",48,"Lser","Pereditas",-33.9226388888889,-69.0839444444444,"1,036"
"49",49,"Lser","past La Consulta",-33.7246944444444,-69.1425555555556,"1,033"
"50",50,"Lser","past Campos de los Andes",-33.6784444444444,-69.1674444444445,"996"
"51",51,"Lvir","outside Uspallata I.",-32.5534166666667,-69.3344444444444,"1,944"
"52",52,"Lser, Lvir","outside Uspallata II.",-32.5156388888889,-69.3479166666667,"2,032"
"53",53,"Lser","out Barrreal",-31.6153055555556,-69.4610555555556,"1,631"
"54",54,"Lser","near Media Aqua",-32.0378611111111,-68.4478333333333,"551"
"55",55,"Lser","San Martin I.",-33.0696666666667,-68.4817777777778,"655"
"56",56,"Lser","San Martin II.",-33.0931944444444,-68.4502222222222,"656"
"57",57,"Lser","after San Martin",-33.1198888888889,-68.4441111111111,"638"
"58",58,"Lser","La Dormida",-33.3490833333333,-67.9220277777778,"561"
"59",59,"Lser","after La Dormida",-33.3725277777778,-67.8846388888889,"554"
"60",60,"Lser","road 50",-33.4112222222222,-67.7515,"537"
"61",61,"Lser","La Paz",-33.46375,-67.5345833333333,"504"
"62",62,"Lser","Mendoza",-32.8957222222222,-68.8611666666667,"746"
