Id,species,location,latitude,longitude,altitude,geometry,Annual mean temperature,Mean diurnal temperature range,Isothermality,Temperature seasonality (standard deviation),Maximum temperature of warmest month,Minimum temperature of coldest month,Temperature annual range,Mean temperature of wettest quarter,Mean temperature of driest quarter,Mean temperature of warmest quarter,Mean temperature of coldest quarter,Annual precipitation,Precipitation of wettest month,Precipitation of driest month,Precipitation seasonality (coefficient of variation),Precipitation of wettest quarter,Precipitation of driest quarter,Precipitation of warmest quarter,Precipitation of coldest quarter,srad,vapr,wind,Altitude,Aspect (North-South),Aspect (East-West),Slope
1,"Lvir x Lser?, Lvir",Villa Vicencio,-31.47636111111111,-67.00488888888889,1506,"c(-67.0048888888889, -31.4763611111111)",20.153165817260742,15.166333198547363,47.33562469482422,615.74273681640625,35.30799865722656,3.2679998874664307,32.03999710083008,27.222665786743164,15.565333366394043,27.222665786743164,12.171333312988281,444,90,11,71.15445709228516,233,47,233,60,16168.4169921875,1.200600028038025,3.651714324951172,398,0.34872114658355713,0.26377514004707336,0.15944303572177887
2,Lvir,Mirador del Balcon,-31.51816666666667,-68.92647222222223,2770,"c(-68.9264722222222, -31.5181666666667)",14.685999870300293,13.047999382019043,45.73752212524414,556.69769287109375,28.327999114990234,-0.20000000298023224,28.527999877929688,20.428667068481445,8.235333442687988,21.357999801635742,7.684000015258789,193,36,4,64.918212890625,95,17,92,17,19379.333984375,0.8255237936973572,3.066666603088379,1229.56005859375,0.55564117431640625,0.502871036529541,10.387784957885742
3,Lser,Ugarteche I.,-32.803222222222225,-67.08844444444443,935,"c(-67.0884444444444, -32.8032222222222)",19.13949966430664,14.114999771118164,45.88154983520508,601.91595458984375,33.69599914550781,2.931999921798706,30.763999938964844,26.255332946777344,11.447333335876465,26.255332946777344,11.447333335876465,338,64,6,71.84150695800781,173,22,173,22,17945.5,1.072942852973938,3.1125714778900146,485.760009765625,0.45675209164619446,0.05641192942857742,0.2874492108821869
4,Lser,Ugarteche II.,-32.805888888888894,-67.07352777777777,970,"c(-67.0735277777778, -32.8058888888889)",19.046667098999023,13.697999954223633,45.381656646728516,593.4141845703125,33.31999969482422,3.135999917984009,30.18400001525879,26.064666748046875,11.459332466125488,26.064666748046875,11.459332466125488,335,63,5,71.59660339355469,170,21,170,21,18384.416015625,1.066190481185913,3.1725714206695557,508.4800109863281,0.3993532955646515,0.10064668953418732,0.37673991918563843
5,Lser,Andalhue winery,-32.805888888888894,-67.05516666666666,958,"c(-67.0551666666667, -32.8058888888889)",19.046667098999023,13.697999954223633,45.381656646728516,593.4141845703125,33.31999969482422,3.135999917984009,30.18400001525879,26.064666748046875,11.459332466125488,26.064666748046875,11.459332466125488,335,63,5,71.59660339355469,170,21,170,21,18384.416015625,1.066190481185913,3.1725714206695557,508.4800109863281,0.3993532955646515,0.10064668953418732,0.37673991918563843
6,Lvir,Valley de Uco,-32.74491666666667,-68.90058333333334,1357,"c(-68.9005833333333, -32.7449166666667)",15.3836669921875,13.657999992370605,45.764644622802734,591.5784912109375,29.79599952697754,-0.04800000041723251,29.8439998626709,21.363332748413086,7.943333625793457,22.51599884033203,7.943333625793457,247,42,6,53.64989471435547,112,26,103,26,17503.916015625,0.8511523604393005,2.7260000705718994,1023.0800170898438,0.5239031314849854,0.8583267331123352,2.784205913543701
7,"Lser, Lvir",San Jose Tupungato,-32.70591666666667,-68.85341666666666,1229,"c(-68.8534166666667, -32.7059166666667)",16.64033317565918,14.295999526977539,46.16378402709961,611.10015869140625,31.56399917602539,0.5960000157356262,30.967998504638672,22.777332305908203,8.93066692352295,23.94533348083496,8.93066692352295,238,47,6,65.32981872558594,120,22,112,22,17392.416015625,0.9228857159614563,2.561142921447754,793.760009765625,0.5080519318580627,0.9238423705101013,1.5823017358779907
8,Lser,dir. los Arboles,-32.552888888888894,-68.79558333333333,1135,"c(-68.7955833333333, -32.5528888888889)",15.935166358947754,13.819000244140625,45.40943908691406,608.32830810546875,30.619998931884766,0.18800000846385956,30.43199920654297,22.05466651916504,8.270000457763672,23.229999542236328,8.270000457763672,240,45,6,61.48710250854492,116,22,109,22,17910.916015625,0.8704761862754822,2.7494285106658936,966.8800048828125,0.5560172200202942,0.7940049171447754,5.483133792877197
9,Lser,Bodega Salentein,-32.499361111111114,-68.72888888888889,1176,"c(-68.7288888888889, -32.4993611111111)",17.652833938598633,15.129666328430176,46.20027542114258,637.7911376953125,33.316001892089844,0.5680000185966492,32.74800109863281,23.992666244506836,9.587333679199219,25.229331970214844,9.587333679199219,249,52,7,67.859466552734375,126,28,123,28,17113.916015625,0.9819714426994324,2.5244762897491455,626.15997314453125,0.5357387661933899,0.9346519112586975,0.7975836396217346
10,"Lser, Lvir",after Los Arboles,-32.465222222222224,-68.69416666666667,1292,"c(-68.6941666666667, -32.4652222222222)",17.742332458496094,15.425999641418457,46.700172424316406,640.49346923828125,33.53199768066406,0.5,33.03199768066406,24.110666275024414,15.059333801269531,25.343332290649414,9.640000343322754,254,52,8,66.54801177978516,127,30,125,31,16923.25,0.9937904477119446,2.5214285850524902,591.6400146484375,0.5315299034118652,0.9664064645767212,0.3841569125652313
11,Lser,Manzano Historico I.,-32.405249999999995,-68.62488888888889,1654,"c(-68.6248888888889, -32.40525)",17.868165969848633,15.434333801269531,46.43301010131836,645.40875244140625,33.704002380371094,0.46400001645088196,33.2400016784668,24.28333282470703,15.161999702453613,25.492666244506836,9.67199993133545,275,55,8,64.21917724609375,134,31,133,39,16530.333984375,1.0036571025848389,2.573523759841919,571.08001708984375,0.301069051027298,0.7620943784713745,0.18092943727970123
12,Lvir,Manzano Historico II.,-32.40572222222222,-68.59094444444443,1819,"c(-68.5909444444444, -32.4057222222222)",17.868165969848633,15.434333801269531,46.43301010131836,645.40875244140625,33.704002380371094,0.46400001645088196,33.2400016784668,24.28333282470703,15.161999702453613,25.492666244506836,9.67199993133545,275,55,8,64.21917724609375,134,31,133,39,16530.333984375,1.0036571025848389,2.573523759841919,571.08001708984375,0.301069051027298,0.7620943784713745,0.18092943727970123
13,Lvir,dir. Tunuyan I.,-32.396499999999996,-68.63966666666667,1615,"c(-68.6396666666667, -32.3965)",17.789167404174805,15.58033275604248,46.96266555786133,642.68719482421875,33.615997314453125,0.4399999976158142,33.17599868774414,24.17799949645996,15.08466625213623,25.400665283203125,9.645999908447266,286,55,10,59.053470611572266,133,33,132,51,16298,0.9978476166725159,2.5687618255615234,583.15997314453125,0.3328285813331604,0.8328285813331604,0.251752108335495
14,Lser,dir. Tunuyan II.,-32.397083333333335,-68.76072222222223,1126,"c(-68.7607222222222, -32.3970833333333)",17.440834045410156,15.060333251953125,46.67266082763672,631.8057861328125,32.93199920654297,0.6640000343322754,32.26799774169922,23.748666763305664,9.454667091369629,24.951332092285156,9.454667091369629,242,50,6,69.37100982666016,124,21,120,21,17498.25,0.9644666910171509,2.5822856426239014,684.08001708984375,0.5144658088684082,0.9300974607467651,1.177975058555603
15,Lser,El Carrizal de Abajo I.,-32.780722222222224,-66.98202777777777,885,"c(-66.9820277777778, -32.7807222222222)",18.827333450317383,13.422666549682617,45.5376091003418,577.35150146484375,32.7760009765625,3.299999952316284,29.476001739501953,25.65999984741211,11.445333480834961,25.65999984741211,11.445333480834961,354,66,6,71.45735931396484,179,22,179,22,18181.083984375,1.0401809215545654,3.310476064682007,598.84002685546875,0.2184760719537735,0.2815239131450653,0.9083543419837952
16,Lser,El Carrizal de Abajo II.,-32.763305555555554,-67.1815,870,"c(-67.1815, -32.7633055555556)",19.193166732788086,14.9176664352417,46.78144454956055,615.983642578125,34.444000244140625,2.555999994277954,31.88800048828125,26.46266746520996,11.317999839782715,26.46266746520996,11.317999839782715,348,69,6,74.84664154052734,183,22,183,22,17074.416015625,1.0752571821212769,3.0895237922668457,474.55999755859375,0.37560540437698364,0.5009103417396545,0.051764849573373795
17,Lser,El Carrizal,-32.74330555555556,-67.20013888888889,854,"c(-67.2001388888889, -32.7433055555556)",19.263166427612305,14.932999610900879,46.8471565246582,615.7711181640625,34.5,2.624000072479248,31.875999450683594,26.531999588012695,11.387333869934082,26.531999588012695,11.387333869934082,346,69,6,74.88155364990234,182,22,182,22,17184.416015625,1.076971411705017,3.102571487426758,477.0799865722656,0.3039969503879547,0.39674121141433716,0.0495932437479496
18,Lser,past El Carrizal se Abajo,-32.69913888888889,-67.21644444444445,823,"c(-67.2164444444444, -32.6991388888889)",19.249666213989258,15.095999717712402,47.139644622802734,615.90234375,34.52799987792969,2.503999948501587,32.02399826049805,26.5086669921875,11.366666793823242,26.5086669921875,11.366666793823242,362,70,9,68.59564208984375,183,35,183,35,16677.583984375,1.076961874961853,3.09761905670166,477.2799987792969,0.5683359503746033,0.5861994028091431,0.07158123701810837
19,Lser,"Mendoza, Buena Nueva",-31.065444444444445,-67.26466666666667,711,"c(-67.2646666666667, -31.0654444444444)",18.167333602905273,12.664000511169434,42.354515075683594,595.63714599609375,32.32400131225586,2.4240000247955322,29.900001525878906,25.055334091186523,11.0086669921875,25.055334091186523,10.486666679382324,339,78,2,94.206207275390625,204,10,204,10,18652.416015625,1.0592762231826782,3.7666666507720947,787.67999267578125,0.5717266798019409,0.8825232982635498,2.954349994659424
20,Lser,Locoli Viejo,-31.2835,-67.32286111111111,621,"c(-67.3228611111111, -31.2835)",18.372499465942383,13.023666381835938,42.767852783203125,611.11065673828125,32.784000396728516,2.3320000171661377,30.45199966430664,25.46000099182129,11.03933334350586,25.46000099182129,10.502666473388672,352,82,2,94.06070709228516,212,11,212,11,18075.5,1.0575332641601563,3.7293334007263184,758.719970703125,0.4335865080356598,0.9139126539230347,4.458249568939209
21,Lser,Encon,-31.78436111111111,-66.20447222222222,526,"c(-66.2044722222222, -31.7843611111111)",20.39616584777832,13.824333190917969,47.05995559692383,544.575927734375,34.29199981689453,4.915999889373779,29.375999450683594,26.665332794189453,13.329333305358887,26.665332794189453,13.329333305358887,500,95,11,71.15499114990234,255,36,255,36,17608.666015625,1.210628628730774,3.9688570499420166,399.9200134277344,0.5341094136238098,0.9418901205062866,0.5393773317337036
22,Lser,La Chimbera,-30.173972222222222,-67.75419444444444,561,"c(-67.7541944444444, -30.1739722222222)",15.492833137512207,16.4010009765625,51.75776290893555,562.85540771484375,30.696001052856445,-0.9919999837875366,31.68800163269043,21.1113338470459,8.79800033569336,22.142000198364258,8.383333206176758,244,59,1,96.40419006347656,148,8,148,8,18280,0.9000952243804932,3.49314284324646,1340.56005859375,0.43176642060279846,0.6941360235214233,1.054606556892395
23,Lser,Cochqual,-30.11911111111111,-67.6163611111111,557,"c(-67.6163611111111, -30.1191111111111)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Lser,Jocoli,-31.413194444444446,-67.32991666666666,587,"c(-67.3299166666667, -31.4131944444444)",18.871000289916992,13.456666946411133,43.48154067993164,622.44683837890625,33.507999420166016,2.559999942779541,30.947999954223633,26.076000213623047,11.390666961669922,26.076000213623047,10.839333534240723,349,81,2,93.68213653564453,210,11,210,11,18182.583984375,1.0817333459854126,3.652095317840576,663.4000244140625,0.40810438990592957,0.8716263771057129,3.562018632888794
25,Lser,Uspallata,-31.411250000000003,-68.64019444444445,1776,"c(-68.6401944444444, -31.41125)",16.267333984375,14.383333206176758,46.3739128112793,614.11016845703125,31.200000762939453,0.18400000035762787,31.016000747680664,22.49066734313965,8.473333358764648,23.534666061401367,8.473333358764648,224,47,2,80.37739562988281,121,10,120,10,19207.75,0.9013143181800842,3.0087618827819824,967.4000244140625,0.376988023519516,0.4491364061832428,4.4520769119262695
26,Lser,Polvaredas,-31.21111111111111,-68.353,2235,"c(-68.353, -31.2111111111111)",17.935998916625977,15.896666526794434,47.37919235229492,652.4315185546875,34.071998596191406,0.5199999809265137,33.551998138427734,25.570667266845703,9.6013336181640625,25.570667266845703,9.6013336181640625,241,54,1,89.9358901977539,139,6,139,6,20119.333984375,1.003352403640747,2.962571382522583,658.84002685546875,0.44460365176200867,0.871895432472229,0.9944965243339539
27,Lser,Punta de Vacas,-31.144694444444443,-68.23805555555556,2403,"c(-68.2380555555556, -31.1446944444444)",18.034000396728516,16.360666275024414,48.0235595703125,653.77734375,34.279998779296875,0.21199999749660492,34.067996978759766,25.672666549682617,9.673333168029785,25.672666549682617,9.673333168029785,247,57,1,91.742523193359375,145,7,145,7,20147.25,1.0216000080108643,3.0370476245880127,660.4000244140625,0.32603734731674194,0.20962189137935638,0.5602738261222839
28,Lser,after Punta de Vacas,-31.138555555555556,-68.21386111111111,2481,"c(-68.2138611111111, -31.1385555555556)",18.034000396728516,16.360666275024414,48.0235595703125,653.77734375,34.279998779296875,0.21199999749660492,34.067996978759766,25.672666549682617,9.673333168029785,25.672666549682617,9.673333168029785,247,57,1,91.742523193359375,145,7,145,7,20147.25,1.0216000080108643,3.0370476245880127,660.4000244140625,0.32603734731674194,0.20962189137935638,0.5602738261222839
